topic,birth,tgt_early_n,tgt_early_R10,tgt_late_n,tgt_late_R10,tgt_ratio,ctrl_early_n,ctrl_early_R10,ctrl_late_n,ctrl_late_R10,ctrl_ratio
a2a,2025-04,43,0.37209302325581395,28,0.17857142857142858,2.083720930232558,2014,0.21847070506454816,9608,0.14238134887593673,1.5344053613013
aiエージェント,2024-12,156,0.5256410256410257,525,0.3047619047619048,1.7247596153846152,2005,0.27231920199501247,4422,0.17978290366350066,1.5147113348703714
cline,2025-01,177,0.559322033898305,29,0.27586206896551724,2.027542372881356,1780,0.23370786516853934,5870,0.17035775127768313,1.371865168539326
codex,2025-05,30,0.36666666666666664,528,0.30303030303030304,1.21,2058,0.20505344995140914,10738,0.13093685975041908,1.5660483254468216
deepseek,2025-01,106,0.33962264150943394,13,0.23076923076923078,1.471698113207547,1780,0.23370786516853934,5870,0.17035775127768313,1.371865168539326
devin,2025-02,86,0.5465116279069767,69,0.3188405797101449,1.7140591966173362,1744,0.22247706422018348,6784,0.16288325471698112,1.3658682386151357
dify,2024-05,81,0.48148148148148145,143,0.26573426573426573,1.8118908382066277,1007,0.24031777557100298,3641,0.2554243339741829,0.9408570116709912
geminicli,2025-06,156,0.24358974358974358,98,0.1326530612244898,1.83629191321499,2027,0.19832264430192403,11735,0.11998295696634001,1.6529234594340045
kiro,2025-07,87,0.41379310344827586,128,0.125,3.310344827586207,1817,0.17226197028068244,11719,0.10026452769007595,1.7180749189100575
langgraph,2024-11,45,0.35555555555555557,53,0.09433962264150944,3.7688888888888887,1897,0.2857142857142857,4007,0.19391065635138507,1.473432616289759
mastra,2025-03,39,0.46153846153846156,47,0.2127659574468085,2.1692307692307695,1781,0.2133632790567097,7994,0.15486614961220915,1.3777270216311288
mcp,2024-12,72,0.5277777777777778,761,0.3061760840998686,1.7237720553171199,2005,0.27231920199501247,4422,0.17978290366350066,1.5147113348703714
n8n,2025-05,42,0.19047619047619047,140,0.11428571428571428,1.6666666666666665,2058,0.20505344995140914,10738,0.13093685975041908,1.5660483254468216
ollama,2024-04,32,0.53125,86,0.3023255813953488,1.7572115384615385,891,0.22334455667789002,3566,0.266404935501963,0.8383649359087956
rag,2024-01,55,0.509090909090909,184,0.42934782608695654,1.1857307249712312,583,0.19382504288164665,3175,0.2831496062992126,0.6845322704663271
vibecoding,2025-04,118,0.3559322033898305,524,0.20229007633587787,1.759513911096898,2014,0.21847070506454816,9608,0.14238134887593673,1.5344053613013
windsurf,2025-02,52,0.6153846153846154,39,0.10256410256410256,6.000000000000001,1744,0.22247706422018348,6784,0.16288325471698112,1.3658682386151357
