m,n,R10,R5,R1,BM1,new_n,new_R5,new_R10
0,432,0.46296296296296297,0.6597222222222222,0.9513888888888888,0.5995370370370371,29,0.1724137931034483,0.13793103448275862
1,465,0.4236559139784946,0.6301075268817204,0.9591397849462365,0.6129032258064516,30,0.3,0.16666666666666666
2,480,0.42916666666666664,0.6375,0.9479166666666666,0.6375,46,0.3695652173913043,0.13043478260869565
3,584,0.4058219178082192,0.6095890410958904,0.952054794520548,0.6643835616438356,49,0.30612244897959184,0.14285714285714285
4,732,0.31830601092896177,0.569672131147541,0.9467213114754098,0.6147540983606558,44,0.25,0.13636363636363635
5,574,0.25435540069686413,0.4808362369337979,0.9477351916376306,0.578397212543554,39,0.28205128205128205,0.1282051282051282
6,550,0.32,0.5036363636363637,0.9236363636363636,0.5945454545454546,62,0.25806451612903225,0.16129032258064516
7,521,0.31477927063339733,0.54510556621881,0.8867562380038387,0.6026871401151631,61,0.29508196721311475,0.19672131147540983
8,489,0.2883435582822086,0.49284253578732107,0.9100204498977505,0.5828220858895705,47,0.2553191489361702,0.1702127659574468
9,567,0.24514991181657847,0.42151675485008816,0.8677248677248677,0.5890652557319224,90,0.12222222222222222,0.05555555555555555
10,650,0.22615384615384615,0.36923076923076925,0.8323076923076923,0.5538461538461539,114,0.10526315789473684,0.02631578947368421
11,618,0.22168284789644013,0.36893203883495146,0.8171521035598706,0.5048543689320388,146,0.136986301369863,0.06164383561643835
12,873,0.2325315005727377,0.3974799541809851,0.8625429553264605,0.5177548682703322,187,0.13368983957219252,0.0748663101604278
13,809,0.17799752781211373,0.31396786155747836,0.8405438813349815,0.49814585908529047,180,0.1,0.05
14,927,0.15857605177993528,0.2977346278317152,0.8500539374325782,0.49406688241639696,197,0.09137055837563451,0.030456852791878174
15,975,0.14051282051282052,0.2512820512820513,0.7794871794871795,0.4123076923076923,229,0.08733624454148471,0.021834061135371178
16,732,0.12704918032786885,0.24180327868852458,0.7827868852459017,0.4180327868852459,166,0.09036144578313253,0.030120481927710843
17,724,0.11187845303867404,0.22513812154696133,0.8342541436464088,0.42265193370165743,186,0.053763440860215055,0.021505376344086023
