group,k,at_risk,first_hit,h,cum_hit_km
all,1,17942,3738,0.20833797792888195,0.20833797792888198
all,2,11035,1083,0.09814227458087903,0.28603348947423957
all,3,8128,627,0.07714074803149606,0.34110940016563374
all,4,6373,408,0.0640200847324651,0.3832916321964547
all,5,5172,277,0.053557617942768754,0.4163210633413855
all,6,4316,207,0.04796107506950881,0.4443149326389604
all,7,3637,179,0.049216387132251856,0.47166374403781275
all,8,3084,116,0.03761348897535668,0.4915363139767277
all,9,2690,96,0.035687732342007436,0.5096822299091568
all,10,2372,87,0.0366779089376054,0.5276660604310384
all,11,2044,62,0.030332681017612523,0.5419932151537761
all,12,1823,62,0.034009873834339004,0.5575699681216673
all,13,1628,41,0.025184275184275184,0.568712247794279
all,14,1475,32,0.02169491525423729,0.5780689990285726
all,15,1354,41,0.030280649926144758,0.5908453439619761
all,16,1251,32,0.025579536370903277,0.6013113303674251
all,17,1126,26,0.023090586145648313,0.6105172854388701
all,18,1035,22,0.021256038647342997,0.6187961450720536
all,19,954,20,0.020964360587002098,0.6267878401439182
all,20,881,20,0.022701475595913734,0.6352603068829894
individual,1,13269,1792,0.135051624086216,0.13505162408621596
individual,2,8813,596,0.06762736865993418,0.1935458067759488
individual,3,6637,350,0.05273466927828838,0.23607390194370803
individual,4,5322,253,0.047538519353626456,0.2723898175408974
individual,5,4374,184,0.04206675811614083,0.3029980190892455
individual,6,3675,160,0.04353741496598639,0.3333436835642716
individual,7,3105,118,0.038003220611916265,0.358678770630106
individual,8,2649,86,0.032465081162702907,0.37949931639296397
individual,9,2317,68,0.0293482952093224,0.3977099536330496
individual,10,2053,63,0.030686799805163176,0.4161923077105547
individual,11,1776,42,0.02364864864864865,0.42999857070388625
individual,12,1585,43,0.027129337539432176,0.4454623318772193
individual,13,1427,32,0.02242466713384723,0.45789765449805253
individual,14,1292,23,0.01780185758513932,0.46754808324924824
individual,15,1189,32,0.02691337258200168,0.4818781600667621
individual,16,1103,21,0.019038984587488667,0.49174267379169223
individual,17,998,15,0.01503006012024048,0.4993818119611557
individual,18,922,14,0.015184381778741865,0.5069833896537195
individual,19,856,13,0.015186915887850467,0.5144707914463615
individual,20,794,15,0.018891687657430732,0.5236432576029165
publication,1,4673,1946,0.41643483843355444,0.41643483843355444
publication,2,2222,487,0.21917191719171916,0.5443359337003677
publication,3,1491,277,0.1857813547954393,0.6289898212691123
publication,4,1051,155,0.14747859181731685,0.6837058799782345
publication,5,798,93,0.11654135338345864,0.7205672247928012
publication,6,641,47,0.07332293291731669,0.7410560554242183
publication,7,532,61,0.11466165413533834,0.7707469964376068
publication,8,435,30,0.06896551724137931,0.7865575484074271
publication,9,373,28,0.07506702412868632,0.8025800380712127
publication,10,319,24,0.07523510971786834,0.8174329505674224
publication,11,268,20,0.07462686567164178,0.8310573572414953
publication,12,238,19,0.07983193277310924,0.8445443749407037
publication,13,201,9,0.04477611940298507,0.8515050745702244
publication,14,183,9,0.04918032786885246,0.8588081036897216
publication,15,165,9,0.05454545454545454,0.8665094798521004
publication,16,148,11,0.07432432432432433,0.8764310725657957
publication,17,128,11,0.0859375,0.8870502772671726
publication,18,113,8,0.07079646017699115,0.8950467178146294
publication,19,98,7,0.07142857142857142,0.9025433808278701
publication,20,87,5,0.05747126436781609,0.9081443359527052
p2_latest,1,474,40,0.08438818565400844,0.08438818565400841
p2_latest,2,261,8,0.03065134099616858,0.11245291559564807
p2_latest,3,184,3,0.016304347826086956,0.12692379197180592
p2_latest,4,151,4,0.026490066225165563,0.15005163854208925
p2_latest,5,125,3,0.024,0.17045039921707916
p2_latest,6,112,3,0.026785714285714284,0.19267047780947888
p2_latest,7,97,0,0.0,0.19267047780947888
p2_latest,8,80,0,0.0,0.19267047780947888
p2_latest,9,71,0,0.0,0.19267047780947888
p2_latest,10,64,0,0.0,0.19267047780947888
p2_latest,11,56,0,0.0,0.19267047780947888
p2_latest,12,48,1,0.020833333333333332,0.20948984285511474
p2_latest,13,42,0,0.0,0.20948984285511474
p2_latest,14,39,0,0.0,0.20948984285511474
p2_latest,15,35,0,0.0,0.20948984285511474
p2_latest,16,33,0,0.0,0.20948984285511474
p2_latest,17,32,0,0.0,0.20948984285511474
p2_latest,18,29,1,0.034482758620689655,0.2367488137911452
p2_latest,19,27,0,0.0,0.2367488137911452
p2_latest,20,26,0,0.0,0.2367488137911452
