quarter,authors,h1_all,n_ind,h1_ind,n_pub,h1_pub
2023Q1,460,0.24565217391304348,415,0.22409638554216868,45,0.4444444444444444
2023Q2,507,0.28402366863905326,410,0.2048780487804878,97,0.6185567010309279
2023Q3,445,0.24044943820224718,370,0.1864864864864865,75,0.5066666666666667
2023Q4,585,0.29572649572649573,441,0.2018140589569161,144,0.5833333333333334
2024Q1,546,0.2216117216117216,439,0.1571753986332574,107,0.48598130841121495
2024Q2,547,0.23583180987202926,392,0.14285714285714285,155,0.47096774193548385
2024Q3,546,0.1978021978021978,406,0.14285714285714285,140,0.35714285714285715
2024Q4,879,0.2593856655290102,584,0.1404109589041096,295,0.49491525423728816
2025Q1,835,0.19401197604790418,671,0.15201192250372578,164,0.36585365853658536
2025Q2,1107,0.17976513098464317,834,0.10071942446043165,273,0.42124542124542125
2025Q3,950,0.1968421052631579,654,0.08868501529051988,296,0.4358108108108108
2025Q4,1292,0.20588235294117646,802,0.08104738154613467,490,0.41020408163265304
2026Q1,2001,0.10044977511244378,1712,0.04789719626168224,289,0.4117647058823529
2026Q2,2293,0.07719145224596598,1948,0.02566735112936345,345,0.3681159420289855
2026Q3,1719,0.04886561954624782,1512,0.011243386243386243,207,0.32367149758454106
