window,k,at_risk,first_hit,h
2024-01..2024-12,1,2518,586,0.23272438443208895
2025-01..2025-12,1,4184,814,0.19455066921606118
2026-01..2026-08,1,5920,457,0.07719594594594595
2024-01..2024-12,2,1635,201,0.12293577981651377
2025-01..2025-12,2,2629,236,0.0897679726131609
2026-01..2026-08,2,3996,165,0.04129129129129129
2024-01..2024-12,3,1272,112,0.0880503144654088
2025-01..2025-12,3,1984,162,0.08165322580645161
2026-01..2026-08,3,2971,103,0.03466846179737462
2024-01..2024-12,4,1032,79,0.07655038759689922
2025-01..2025-12,4,1578,99,0.06273764258555133
2026-01..2026-08,4,2383,83,0.03483004616030214
2024-01..2024-12,5,843,46,0.054567022538552785
2025-01..2025-12,5,1300,80,0.06153846153846154
2026-01..2026-08,5,1974,63,0.031914893617021274
2024-01..2024-12,6,703,40,0.05689900426742532
2025-01..2025-12,6,1095,58,0.052968036529680365
2026-01..2026-08,6,1671,47,0.028126870137642132
2024-01..2024-12,7,576,37,0.0642361111111111
2025-01..2025-12,7,934,46,0.04925053533190578
2026-01..2026-08,7,1420,47,0.03309859154929577
2024-01..2024-12,8,500,25,0.05
2025-01..2025-12,8,816,25,0.030637254901960783
2026-01..2026-08,8,1188,35,0.029461279461279462
2024-01..2024-12,9,434,17,0.03917050691244239
2025-01..2025-12,9,711,31,0.04360056258790436
2026-01..2026-08,9,1059,24,0.0226628895184136
2024-01..2024-12,10,362,14,0.03867403314917127
2025-01..2025-12,10,635,30,0.047244094488188976
2026-01..2026-08,10,948,29,0.03059071729957806
2024-01..2024-12,11,335,7,0.020895522388059702
2025-01..2025-12,11,530,15,0.02830188679245283
2026-01..2026-08,11,806,22,0.02729528535980149
2024-01..2024-12,12,309,8,0.025889967637540454
2025-01..2025-12,12,468,21,0.04487179487179487
2026-01..2026-08,12,718,21,0.02924791086350975
