topic,birth,m,month,n,R10,R5,R1,BM1
a2a,2025-04,0,2025-04,27,0.3333333333333333,0.5185185185185185,1.0,0.5925925925925926
a2a,2025-04,1,2025-05,11,0.45454545454545453,0.5454545454545454,1.0,0.7272727272727273
a2a,2025-04,2,2025-06,5,0.4,0.8,1.0,0.8
a2a,2025-04,3,2025-07,6,0.16666666666666666,0.3333333333333333,1.0,0.8333333333333334
a2a,2025-04,4,2025-08,3,0.0,0.0,0.6666666666666666,0.0
a2a,2025-04,5,2025-09,5,0.2,0.4,1.0,1.0
a2a,2025-04,6,2025-10,4,0.0,0.25,0.75,0.0
a2a,2025-04,7,2025-11,1,0.0,0.0,1.0,1.0
a2a,2025-04,8,2025-12,7,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.42857142857142855
a2a,2025-04,9,2026-01,5,0.2,0.4,0.6,0.4
a2a,2025-04,10,2026-02,6,0.16666666666666666,0.5,1.0,0.3333333333333333
a2a,2025-04,11,2026-03,5,0.0,0.0,0.6,0.2
a2a,2025-04,12,2026-04,7,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857
a2a,2025-04,13,2026-05,23,0.043478260869565216,0.13043478260869565,0.4782608695652174,0.17391304347826086
a2a,2025-04,14,2026-06,11,0.0,0.09090909090909091,0.7272727272727273,0.5454545454545454
a2a,2025-04,15,2026-07,5,0.0,0.2,0.8,0.0
a2a,2025-04,16,2026-08,1,0.0,0.0,1.0,1.0
aiエージェント,2024-12,0,2024-12,25,0.48,0.72,1.0,0.4
aiエージェント,2024-12,1,2025-01,45,0.5111111111111111,0.7777777777777778,1.0,0.6
aiエージェント,2024-12,2,2025-02,86,0.5465116279069767,0.7441860465116279,0.9651162790697675,0.6744186046511628
aiエージェント,2024-12,3,2025-03,73,0.4657534246575342,0.6027397260273972,0.9863013698630136,0.6575342465753424
aiエージェント,2024-12,4,2025-04,104,0.23076923076923078,0.5192307692307693,0.9615384615384616,0.5576923076923077
aiエージェント,2024-12,5,2025-05,96,0.2708333333333333,0.4895833333333333,0.9895833333333334,0.5833333333333334
aiエージェント,2024-12,6,2025-06,119,0.40336134453781514,0.5882352941176471,0.9747899159663865,0.6722689075630253
aiエージェント,2024-12,7,2025-07,85,0.3058823529411765,0.5764705882352941,0.9176470588235294,0.6705882352941176
aiエージェント,2024-12,8,2025-08,74,0.22972972972972974,0.4594594594594595,0.8378378378378378,0.527027027027027
aiエージェント,2024-12,9,2025-09,70,0.18571428571428572,0.37142857142857144,0.9,0.6285714285714286
aiエージェント,2024-12,10,2025-10,76,0.3026315789473684,0.4342105263157895,0.8947368421052632,0.618421052631579
aiエージェント,2024-12,11,2025-11,101,0.32673267326732675,0.504950495049505,0.8910891089108911,0.6435643564356436
aiエージェント,2024-12,12,2025-12,155,0.38064516129032255,0.5806451612903226,0.9419354838709677,0.6064516129032258
aiエージェント,2024-12,13,2026-01,133,0.3082706766917293,0.45112781954887216,0.8872180451127819,0.6616541353383458
aiエージェント,2024-12,14,2026-02,207,0.21256038647342995,0.4057971014492754,0.8260869565217391,0.6328502415458938
aiエージェント,2024-12,15,2026-03,280,0.16071428571428573,0.3,0.9357142857142857,0.475
aiエージェント,2024-12,16,2026-04,282,0.16312056737588654,0.26595744680851063,0.7836879432624113,0.4574468085106383
aiエージェント,2024-12,17,2026-05,329,0.08206686930091185,0.17933130699088146,0.78419452887538,0.3465045592705167
aiエージェント,2024-12,18,2026-06,365,0.08493150684931507,0.17534246575342466,0.7561643835616438,0.32054794520547947
aiエージェント,2024-12,19,2026-07,424,0.06839622641509434,0.1721698113207547,0.7594339622641509,0.2783018867924528
aiエージェント,2024-12,20,2026-08,499,0.04809619238476954,0.11222444889779559,0.6052104208416834,0.23847695390781562
aiエージェント,2024-12,21,2026-09,53,0.03773584905660377,0.07547169811320754,0.4528301886792453,0.11320754716981132
cline,2025-01,0,2025-01,36,0.5833333333333334,0.8055555555555556,1.0,0.6666666666666666
cline,2025-01,1,2025-02,30,0.6,0.7333333333333333,0.9666666666666667,0.7666666666666667
cline,2025-01,2,2025-03,111,0.5405405405405406,0.7657657657657657,1.0,0.7657657657657657
cline,2025-01,3,2025-04,61,0.32786885245901637,0.6721311475409836,0.9672131147540983,0.6557377049180327
cline,2025-01,4,2025-05,31,0.3548387096774194,0.5161290322580645,1.0,0.6129032258064516
cline,2025-01,5,2025-06,21,0.23809523809523808,0.2857142857142857,0.9523809523809523,0.42857142857142855
cline,2025-01,6,2025-07,13,0.23076923076923078,0.3076923076923077,0.8461538461538461,0.46153846153846156
cline,2025-01,7,2025-08,3,0.0,0.0,0.6666666666666666,0.6666666666666666
cline,2025-01,8,2025-09,3,0.6666666666666666,0.6666666666666666,1.0,1.0
cline,2025-01,9,2025-10,3,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666
cline,2025-01,10,2025-11,4,0.25,0.5,0.75,0.5
cline,2025-01,11,2025-12,3,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333
cline,2025-01,12,2026-01,3,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666
cline,2025-01,13,2026-02,3,0.0,0.3333333333333333,1.0,0.6666666666666666
cline,2025-01,14,2026-03,5,0.0,0.2,0.8,0.4
cline,2025-01,15,2026-04,3,0.0,0.0,0.0,0.0
cline,2025-01,17,2026-06,3,0.0,0.0,1.0,0.0
cline,2025-01,18,2026-07,3,0.0,0.0,0.0,0.0
cline,2025-01,19,2026-08,2,0.0,0.5,0.5,0.5
cline,2025-01,20,2026-09,3,0.0,0.0,0.6666666666666666,0.3333333333333333
codex,2025-05,0,2025-05,18,0.3888888888888889,0.6666666666666666,0.8888888888888888,0.6111111111111112
codex,2025-05,1,2025-06,9,0.4444444444444444,0.6666666666666666,0.8888888888888888,0.6666666666666666
codex,2025-05,2,2025-07,3,0.0,0.0,1.0,0.3333333333333333
codex,2025-05,3,2025-08,23,0.43478260869565216,0.5217391304347826,0.782608695652174,0.5652173913043478
codex,2025-05,4,2025-09,58,0.3620689655172414,0.5862068965517241,0.8620689655172413,0.7068965517241379
codex,2025-05,5,2025-10,70,0.34285714285714286,0.5,0.9,0.7857142857142857
codex,2025-05,6,2025-11,34,0.35294117647058826,0.4117647058823529,0.7352941176470589,0.5294117647058824
codex,2025-05,7,2025-12,66,0.4393939393939394,0.6363636363636364,0.9242424242424242,0.6212121212121212
codex,2025-05,8,2026-01,66,0.42424242424242425,0.5909090909090909,0.9090909090909091,0.7424242424242424
codex,2025-05,9,2026-02,103,0.32038834951456313,0.5436893203883495,0.8737864077669902,0.7184466019417476
codex,2025-05,10,2026-03,134,0.26119402985074625,0.3880597014925373,0.8283582089552238,0.6343283582089553
codex,2025-05,11,2026-04,125,0.184,0.32,0.824,0.632
codex,2025-05,12,2026-05,278,0.18345323741007194,0.3345323741007194,0.8129496402877698,0.5035971223021583
codex,2025-05,13,2026-06,257,0.11673151750972763,0.22957198443579765,0.8365758754863813,0.45136186770428016
codex,2025-05,14,2026-07,236,0.1228813559322034,0.19915254237288135,0.864406779661017,0.3771186440677966
codex,2025-05,15,2026-08,232,0.0603448275862069,0.12931034482758622,0.5689655172413793,0.24568965517241378
codex,2025-05,16,2026-09,31,0.03225806451612903,0.03225806451612903,0.41935483870967744,0.0967741935483871
deepseek,2025-01,0,2025-01,61,0.4098360655737705,0.639344262295082,0.9672131147540983,0.5409836065573771
deepseek,2025-01,1,2025-02,28,0.35714285714285715,0.4642857142857143,1.0,0.6428571428571429
deepseek,2025-01,2,2025-03,17,0.058823529411764705,0.058823529411764705,0.8235294117647058,0.17647058823529413
deepseek,2025-01,3,2025-04,11,0.18181818181818182,0.5454545454545454,1.0,0.5454545454545454
deepseek,2025-01,4,2025-05,5,0.6,0.6,0.8,0.6
deepseek,2025-01,5,2025-06,4,0.25,0.25,1.0,0.5
deepseek,2025-01,6,2025-07,2,0.0,0.0,1.0,0.0
deepseek,2025-01,9,2025-10,1,0.0,0.0,1.0,1.0
deepseek,2025-01,10,2025-11,4,0.25,0.5,0.75,1.0
deepseek,2025-01,11,2025-12,6,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
deepseek,2025-01,12,2026-01,4,0.0,0.0,1.0,0.0
deepseek,2025-01,13,2026-02,2,0.0,0.0,0.5,0.0
deepseek,2025-01,14,2026-03,8,0.125,0.125,0.5,0.375
deepseek,2025-01,15,2026-04,10,0.1,0.2,0.5,0.3
deepseek,2025-01,16,2026-05,13,0.07692307692307693,0.15384615384615385,0.7692307692307693,0.5384615384615384
deepseek,2025-01,17,2026-06,19,0.05263157894736842,0.10526315789473684,0.631578947368421,0.3157894736842105
deepseek,2025-01,18,2026-07,7,0.0,0.14285714285714285,0.7142857142857143,0.2857142857142857
deepseek,2025-01,19,2026-08,44,0.022727272727272728,0.13636363636363635,0.5,0.22727272727272727
deepseek,2025-01,20,2026-09,3,0.0,0.0,0.3333333333333333,0.0
devin,2025-02,0,2025-02,13,1.0,1.0,1.0,1.0
devin,2025-02,1,2025-03,35,0.5714285714285714,0.7428571428571429,1.0,0.6
devin,2025-02,2,2025-04,38,0.3684210526315789,0.7894736842105263,1.0,0.6578947368421053
devin,2025-02,3,2025-05,33,0.3333333333333333,0.696969696969697,0.9696969696969697,0.6666666666666666
devin,2025-02,4,2025-06,29,0.5172413793103449,0.8275862068965517,1.0,0.5862068965517241
devin,2025-02,5,2025-07,23,0.391304347826087,0.43478260869565216,0.782608695652174,0.6956521739130435
devin,2025-02,6,2025-08,10,0.1,0.3,1.0,0.3
devin,2025-02,7,2025-09,20,0.25,0.75,1.0,0.75
devin,2025-02,8,2025-10,6,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666
devin,2025-02,9,2025-11,8,0.25,0.375,0.875,0.25
devin,2025-02,10,2025-12,22,0.45454545454545453,0.6363636363636364,0.9090909090909091,0.5454545454545454
devin,2025-02,11,2026-01,3,0.6666666666666666,0.6666666666666666,1.0,1.0
devin,2025-02,12,2026-02,6,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334
devin,2025-02,13,2026-03,15,0.3333333333333333,0.4666666666666667,1.0,0.6666666666666666
devin,2025-02,14,2026-04,8,0.375,0.5,0.75,0.5
devin,2025-02,15,2026-05,11,0.18181818181818182,0.36363636363636365,0.9090909090909091,0.36363636363636365
devin,2025-02,16,2026-06,11,0.0,0.2727272727272727,0.9090909090909091,0.09090909090909091
devin,2025-02,17,2026-07,11,0.2727272727272727,0.5454545454545454,0.8181818181818182,0.5454545454545454
devin,2025-02,18,2026-08,9,0.2222222222222222,0.5555555555555556,0.8888888888888888,0.3333333333333333
devin,2025-02,19,2026-09,1,0.0,0.0,1.0,0.0
dify,2024-05,0,2024-05,25,0.64,0.8,1.0,0.52
dify,2024-05,1,2024-06,39,0.4358974358974359,0.7435897435897436,0.9743589743589743,0.38461538461538464
dify,2024-05,2,2024-07,17,0.35294117647058826,0.7647058823529411,1.0,0.35294117647058826
dify,2024-05,3,2024-08,27,0.4444444444444444,0.5925925925925926,0.9259259259259259,0.48148148148148145
dify,2024-05,4,2024-09,23,0.2608695652173913,0.391304347826087,0.9130434782608695,0.30434782608695654
dify,2024-05,5,2024-10,15,0.2,0.4666666666666667,0.7333333333333333,0.2
dify,2024-05,6,2024-11,13,0.38461538461538464,0.6153846153846154,1.0,0.46153846153846156
